tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
110N04167,I-66,EASTBOUND,VA-120/GLEBE RD,VA,ARLINGTON,22201,38.88535,-77.11869,38.88808,-77.11427,0.312208,59.0,America/New_York,P1.3,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N04168,I-66,EASTBOUND,FAIRFAX DR/EXIT 71,VA,ARLINGTON,22205,38.8808,-77.12381,38.88283,-77.12064,0.221512,57.0,America/New_York,P1.3,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N04169,I-66,EASTBOUND,SYCAMORE ST/EXIT 69,VA,ARLINGTON,22205,38.88563,-77.15636,38.88385,-77.151,0.313374,55.0,America/New_York,P1.3,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04167,I-66,WESTBOUND,VA-120/GLEBE RD,VA,ARLINGTON,22201,38.89347,-77.10077,38.88828,-77.1143,0.847384,12.0,America/New_York,P1.3,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-04163,I-66,EASTBOUND,VA-110/EXIT 75,VA,ARLINGTON,22209,38.89709,-77.0684,38.89462,-77.06789,0.173875,66.0,America/New_York,P1.3,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04166,I-66,WESTBOUND,US-29/LEE HWY/EXIT 72,VA,ARLINGTON,22201,38.89748,-77.08487,38.896020008559,-77.099049988996,0.814508,10.0,America/New_York,P1.3,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-04164,I-66,EASTBOUND,US-29/LEE HWY/EXIT 73,VA,ARLINGTON,22209,38.89734,-77.08488,38.89853,-77.07078,0.800441,64.0,America/New_York,P1.3,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04165,I-66,WESTBOUND,SCOTT ST,VA,ARLINGTON,22209,38.89865,-77.07077,38.89722,-77.08046,0.546378,8.0,America/New_York,P1.3,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04164,I-66,WESTBOUND,US-29/LEE HWY/EXIT 73,VA,ARLINGTON,22209,38.8957,-77.06782,38.89714,-77.06826,0.103042,6.0,America/New_York,P1.3,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-04165,I-66,EASTBOUND,SCOTT ST,VA,ARLINGTON,22201,38.89348,-77.10056,38.89752,-77.08526,0.973677,62.0,America/New_York,P1.3,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
